Test Case,Latency (seconds)
Test Case 1,0.0519862174987793
Test Case 1,0.05299973487854004
Test Case 1,0.05201125144958496
Test Case 1,0.05397677421569824
Test Case 1,0.052289724349975586
Test Case 1,0.050997018814086914
Test Case 1,0.05273628234863281
Test Case 1,0.05201148986816406
Test Case 1,0.05200004577636719
Test Case 1,0.05197548866271973
Test Case 1,0.0540006160736084
Test Case 1,0.05199933052062988
Test Case 1,0.053002119064331055
Test Case 1,0.05302286148071289
Test Case 1,0.05299949645996094
Test Case 1,0.051976680755615234
Test Case 1,0.05309772491455078
Test Case 1,0.053008079528808594
Test Case 1,0.05296969413757324
Test Case 1,0.05342841148376465
Test Case 1,0.054578304290771484
Test Case 1,0.051990509033203125
Test Case 1,0.05301618576049805
Test Case 1,0.05201435089111328
Test Case 1,0.05272173881530762
Test Case 1,0.05196857452392578
Test Case 1,0.05218839645385742
Test Case 1,0.05174064636230469
Test Case 1,0.05338788032531738
Test Case 1,0.05302119255065918
Test Case 1,0.051999807357788086
Test Case 1,0.053000450134277344
Test Case 1,0.05197906494140625
Test Case 1,0.05500626564025879
Test Case 1,0.0770258903503418
Test Case 1,0.05496692657470703
Test Case 1,0.052304744720458984
Test Case 1,0.05201148986816406
Test Case 1,0.05200004577636719
Test Case 1,0.053000450134277344
Test Case 1,0.052001237869262695
Test Case 1,0.0511012077331543
Test Case 1,0.051874399185180664
Test Case 1,0.054025888442993164
Test Case 1,0.06097531318664551
Test Case 1,0.05425310134887695
Test Case 1,0.05373859405517578
Test Case 1,0.0528721809387207
Test Case 1,0.052988290786743164
Test Case 1,0.051000118255615234
Test Case 1,0.05199933052062988
Test Case 1,0.07801580429077148
Test Case 1,0.05297493934631348
Test Case 1,0.05092310905456543
Test Case 1,0.0650029182434082
Test Case 1,0.052161455154418945
Test Case 1,0.05272984504699707
Test Case 1,0.05398225784301758
Test Case 1,0.051995277404785156
Test Case 1,0.05499863624572754
Test Case 1,0.06599998474121094
Test Case 1,0.05099940299987793
Test Case 1,0.07002544403076172
Test Case 1,0.0510098934173584
Test Case 1,0.05301094055175781
Test Case 1,0.05297279357910156
Test Case 1,0.05222630500793457
Test Case 1,0.05339646339416504
Test Case 1,0.07036232948303223
Test Case 1,0.05298614501953125
Test Case 1,0.05058169364929199
Test Case 1,0.053089141845703125
Test Case 1,0.05199718475341797
Test Case 1,0.05098128318786621
Test Case 1,0.053992271423339844
Test Case 1,0.051802635192871094
Test Case 1,0.05147719383239746
Test Case 1,0.058001041412353516
Test Case 1,0.05299687385559082
Test Case 1,0.05099821090698242
Test Case 1,0.05300307273864746
Test Case 1,0.05401158332824707
Test Case 1,0.0549931526184082
Test Case 1,0.05295372009277344
Test Case 1,0.05601954460144043
Test Case 1,0.05569624900817871
Test Case 1,0.052000999450683594
Test Case 1,0.05201292037963867
Test Case 1,0.051750898361206055
Test Case 1,0.05300259590148926
Test Case 1,0.05300259590148926
Test Case 1,0.06599926948547363
Test Case 1,0.05400848388671875
Test Case 1,0.05999350547790527
Test Case 1,0.06483054161071777
Test Case 1,0.0520017147064209
Test Case 1,0.06002235412597656
Test Case 1,0.05301070213317871
Test Case 1,0.05309915542602539
Test Case 1,0.07700562477111816
Test Case 2,0.051952362060546875
Test Case 2,0.05201268196105957
Test Case 2,0.05441093444824219
Test Case 2,0.05273103713989258
Test Case 2,0.05697464942932129
Test Case 2,0.055794715881347656
Test Case 2,0.08086347579956055
Test Case 2,0.05672788619995117
Test Case 2,0.05400538444519043
Test Case 2,0.05400681495666504
Test Case 2,0.05299997329711914
Test Case 2,0.05178117752075195
Test Case 2,0.053003549575805664
Test Case 2,0.053997039794921875
Test Case 2,0.05300188064575195
Test Case 2,0.052994489669799805
Test Case 2,0.06999373435974121
Test Case 2,0.05203580856323242
Test Case 2,0.06960248947143555
Test Case 2,0.0529937744140625
Test Case 2,0.056993961334228516
Test Case 2,0.05199885368347168
Test Case 2,0.054070234298706055
Test Case 2,0.052999019622802734
Test Case 2,0.05699777603149414
Test Case 2,0.05300164222717285
Test Case 2,0.0520021915435791
Test Case 2,0.05002021789550781
Test Case 2,0.05697798728942871
Test Case 2,0.052000999450683594
Test Case 2,0.05999922752380371
Test Case 2,0.05800366401672363
Test Case 2,0.052877187728881836
Test Case 2,0.05199933052062988
Test Case 2,0.0510106086730957
Test Case 2,0.05800962448120117
Test Case 2,0.0678858757019043
Test Case 2,0.07000446319580078
Test Case 2,0.05399775505065918
Test Case 2,0.0629889965057373
Test Case 2,0.051010847091674805
Test Case 2,0.056005239486694336
Test Case 2,0.051993608474731445
Test Case 2,0.05199432373046875
Test Case 2,0.09463882446289062
Test Case 2,0.051831722259521484
Test Case 2,0.0521092414855957
Test Case 2,0.06600737571716309
Test Case 2,0.05499601364135742
Test Case 2,0.0699925422668457
Test Case 2,0.057012081146240234
Test Case 2,0.06399297714233398
Test Case 2,0.056667327880859375
Test Case 2,0.05510854721069336
Test Case 2,0.05365157127380371
Test Case 2,0.052387237548828125
Test Case 2,0.05423283576965332
Test Case 2,0.05263233184814453
Test Case 2,0.05141496658325195
Test Case 2,0.051943302154541016
Test Case 2,0.06885290145874023
Test Case 2,0.05118370056152344
Test Case 2,0.051661014556884766
Test Case 2,0.05274653434753418
Test Case 2,0.052182674407958984
Test Case 2,0.05221152305603027
Test Case 2,0.07420611381530762
Test Case 2,0.0528256893157959
Test Case 2,0.05373859405517578
Test Case 2,0.05151700973510742
Test Case 2,0.05322456359863281
Test Case 2,0.05491280555725098
Test Case 2,0.05369997024536133
Test Case 2,0.059232473373413086
Test Case 2,0.05190849304199219
Test Case 2,0.05357837677001953
Test Case 2,0.05421853065490723
Test Case 2,0.05170178413391113
Test Case 2,0.05146074295043945
Test Case 2,0.06450247764587402
Test Case 2,0.051863908767700195
Test Case 2,0.05301856994628906
Test Case 2,0.05695462226867676
Test Case 2,0.06876468658447266
Test Case 2,0.05185985565185547
Test Case 2,0.051680564880371094
Test Case 2,0.051950931549072266
Test Case 2,0.051813602447509766
Test Case 2,0.05234789848327637
Test Case 2,0.051964759826660156
Test Case 2,0.050632476806640625
Test Case 2,0.05233883857727051
Test Case 2,0.07500815391540527
Test Case 2,0.05077099800109863
Test Case 2,0.054120779037475586
Test Case 2,0.05117917060852051
Test Case 2,0.0525212287902832
Test Case 2,0.05110740661621094
Test Case 2,0.05246448516845703
Test Case 2,0.05144047737121582
Test Case 3,0.052353620529174805
Test Case 3,0.049591779708862305
Test Case 3,0.05204963684082031
Test Case 3,0.05305743217468262
Test Case 3,0.05451202392578125
Test Case 3,0.05219674110412598
Test Case 3,0.06149458885192871
Test Case 3,0.05322098731994629
Test Case 3,0.05204296112060547
Test Case 3,0.052210330963134766
Test Case 3,0.05358242988586426
Test Case 3,0.05133557319641113
Test Case 3,0.052542924880981445
Test Case 3,0.05316352844238281
Test Case 3,0.05852913856506348
Test Case 3,0.05414748191833496
Test Case 3,0.05120563507080078
Test Case 3,0.055967092514038086
Test Case 3,0.05451536178588867
Test Case 3,0.051451921463012695
Test Case 3,0.05231118202209473
Test Case 3,0.05136466026306152
Test Case 3,0.07199811935424805
Test Case 3,0.051156044006347656
Test Case 3,0.053734540939331055
Test Case 3,0.052377939224243164
Test Case 3,0.050872802734375
Test Case 3,0.05189824104309082
Test Case 3,0.05421853065490723
Test Case 3,0.051320552825927734
Test Case 3,0.052011966705322266
Test Case 3,0.05397987365722656
Test Case 3,0.06673455238342285
Test Case 3,0.053734779357910156
Test Case 3,0.05300402641296387
Test Case 3,0.06294894218444824
Test Case 3,0.06101036071777344
Test Case 3,0.051955223083496094
Test Case 3,0.05353736877441406
Test Case 3,0.05199432373046875
Test Case 3,0.05501198768615723
Test Case 3,0.05899930000305176
Test Case 3,0.05299735069274902
Test Case 3,0.05198955535888672
Test Case 3,0.05501222610473633
Test Case 3,0.052069664001464844
Test Case 3,0.0528261661529541
Test Case 3,0.0540013313293457
Test Case 3,0.05200004577636719
Test Case 3,0.05268287658691406
Test Case 3,0.053023338317871094
Test Case 3,0.057000160217285156
Test Case 3,0.05597734451293945
Test Case 3,0.052011966705322266
Test Case 3,0.05201077461242676
Test Case 3,0.05194902420043945
Test Case 3,0.0559999942779541
Test Case 3,0.05197763442993164
Test Case 3,0.05101132392883301
Test Case 3,0.05301094055175781
Test Case 3,0.05475783348083496
Test Case 3,0.05802035331726074
Test Case 3,0.053000450134277344
Test Case 3,0.05797910690307617
Test Case 3,0.05099964141845703
Test Case 3,0.05119824409484863
Test Case 3,0.058687448501586914
Test Case 3,0.05266857147216797
Test Case 3,0.05096912384033203
Test Case 3,0.07502913475036621
Test Case 3,0.05197715759277344
Test Case 3,0.05299067497253418
Test Case 3,0.05279374122619629
Test Case 3,0.05700063705444336
Test Case 3,0.05102086067199707
Test Case 3,0.05300021171569824
Test Case 3,0.05900263786315918
Test Case 3,0.0519862174987793
Test Case 3,0.05199313163757324
Test Case 3,0.055017948150634766
Test Case 3,0.05400991439819336
Test Case 3,0.06297826766967773
Test Case 3,0.07754135131835938
Test Case 3,0.051989078521728516
Test Case 3,0.05181479454040527
Test Case 3,0.0509800910949707
Test Case 3,0.07831263542175293
Test Case 3,0.052008628845214844
Test Case 3,0.05099296569824219
Test Case 3,0.05800604820251465
Test Case 3,0.05399918556213379
Test Case 3,0.05399441719055176
Test Case 3,0.053014278411865234
Test Case 3,0.053096771240234375
Test Case 3,0.051162004470825195
Test Case 3,0.05200457572937012
Test Case 3,0.05298972129821777
Test Case 3,0.05200600624084473
Test Case 3,0.05499553680419922
Test Case 3,0.05199837684631348
Test Case 4,0.052019357681274414
Test Case 4,0.05400276184082031
Test Case 4,0.052977561950683594
Test Case 4,0.051809072494506836
Test Case 4,0.05689573287963867
Test Case 4,0.054584503173828125
Test Case 4,0.055130958557128906
Test Case 4,0.051772117614746094
Test Case 4,0.05198979377746582
Test Case 4,0.05300474166870117
Test Case 4,0.06599760055541992
Test Case 4,0.05198168754577637
Test Case 4,0.05100560188293457
Test Case 4,0.05431008338928223
Test Case 4,0.0550541877746582
Test Case 4,0.05197620391845703
Test Case 4,0.0530085563659668
Test Case 4,0.05399608612060547
Test Case 4,0.0540008544921875
Test Case 4,0.05301785469055176
Test Case 4,0.05200004577636719
Test Case 4,0.05380702018737793
Test Case 4,0.05299520492553711
Test Case 4,0.05300116539001465
Test Case 4,0.050951242446899414
Test Case 4,0.050992488861083984
Test Case 4,0.05199146270751953
Test Case 4,0.05216860771179199
Test Case 4,0.05301189422607422
Test Case 4,0.07400965690612793
Test Case 4,0.053997039794921875
Test Case 4,0.052992820739746094
Test Case 4,0.08778762817382812
Test Case 4,0.052808523178100586
Test Case 4,0.05168652534484863
Test Case 4,0.05099773406982422
Test Case 4,0.061994314193725586
Test Case 4,0.0540010929107666
Test Case 4,0.05100607872009277
Test Case 4,0.055016279220581055
Test Case 4,0.05300307273864746
Test Case 4,0.05397796630859375
Test Case 4,0.05501103401184082
Test Case 4,0.07599258422851562
Test Case 4,0.05118584632873535
Test Case 4,0.05127382278442383
Test Case 4,0.07387733459472656
Test Case 4,0.0523226261138916
Test Case 4,0.05298948287963867
Test Case 4,0.05800628662109375
Test Case 4,0.05399465560913086
Test Case 4,0.051001548767089844
Test Case 4,0.06400012969970703
Test Case 4,0.055005788803100586
Test Case 4,0.05401921272277832
Test Case 4,0.05597281455993652
Test Case 4,0.05100107192993164
Test Case 4,0.05139017105102539
Test Case 4,0.07299590110778809
Test Case 4,0.05200815200805664
Test Case 4,0.053994178771972656
Test Case 4,0.05899357795715332
Test Case 4,0.05199790000915527
Test Case 4,0.055002450942993164
Test Case 4,0.05299735069274902
Test Case 4,0.051999807357788086
Test Case 4,0.0540013313293457
Test Case 4,0.07003355026245117
Test Case 4,0.05199289321899414
Test Case 4,0.05297684669494629
Test Case 4,0.05202150344848633
Test Case 4,0.06853246688842773
Test Case 4,0.05302834510803223
Test Case 4,0.0529780387878418
Test Case 4,0.05498814582824707
Test Case 4,0.05200004577636719
Test Case 4,0.0520014762878418
Test Case 4,0.052001953125
Test Case 4,0.0720219612121582
Test Case 4,0.05397486686706543
Test Case 4,0.05300116539001465
Test Case 4,0.05300116539001465
Test Case 4,0.052997589111328125
Test Case 4,0.05353403091430664
Test Case 4,0.05272269248962402
Test Case 4,0.0633840560913086
Test Case 4,0.05143904685974121
Test Case 4,0.05300569534301758
Test Case 4,0.06299138069152832
Test Case 4,0.05200004577636719
Test Case 4,0.05302858352661133
Test Case 4,0.0729818344116211
Test Case 4,0.052249908447265625
Test Case 4,0.052043914794921875
Test Case 4,0.05799055099487305
Test Case 4,0.05399680137634277
Test Case 4,0.05301165580749512
Test Case 4,0.05399298667907715
Test Case 4,0.05400538444519043
Test Case 4,0.05199074745178223
